publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type	full_coverage	collection	discipline	catalog_identifier_oclc	catalog_identifier_lccn
Advisory Council Bulletin (Music Teachers' National Association)	23809043	24701327	1936-12-01	1	1	1937-12-01	2	1	http://www.jstor.org/journal/advicounbull		advicounbull	P4Y	fulltext		Music Teachers National Association	serial						bullmusiteacnati		P	1936-12-01 - 1937-12-01	Music Complete Collection	Arts ; Education ; Music ; Social Sciences		
The Advocate of Peace (1837-1845)	21548382		1837-06-01	1	1	1845-11-01	6	11/12	http://www.jstor.org/journal/advopeace1837		advopeace1837	P3Y	fulltext		World Affairs Institute	serial						advopeacunivbro	advopeace1834	P	1837-06-01 - 1845-11-01	Arts & Sciences VI Collection	International Relations ; Social Sciences	55938736	2006255467
Advocate of Peace (1847-1884)	21548390		1847-01-01	7	1/2	1884-06-01	15	3	http://www.jstor.org/journal/advopeace1847		advopeace1847	P3Y	fulltext		World Affairs Institute	serial						amadvopeacarbi	advopeacunivbro	P	1847-01-01 - 1884-06-01	Arts & Sciences VI Collection	International Relations ; Political Science ; Social Sciences	55938737	20066255469
The Advocate of Peace (1894-1920)	21557799		1894-01-01	56	1	1920-02-01	82	2	http://www.jstor.org/journal/advopeac1894		advopeac1894	P3Y	fulltext		World Affairs Institute	serial						advopeacjust	amadvopeace	P	1894-01-01 - 1920-02-01	Arts & Sciences VI Collection	International Relations ; Political Science ; Social Sciences	680372617	2010-235355
The Advocate of Peace and Universal Brotherhood	21548420		1846-01-01	1	1	1846-12-01	1	12	http://www.jstor.org/journal/advopeacunivbro		advopeacunivbro	P3Y	fulltext		World Affairs Institute	serial						advopeace1847	advopeace1837	P	1846-01-01 - 1846-12-01	Arts & Sciences VI Collection	International Relations ; Political Science ; Social Sciences	55938743	2006255468
Advocate of Peace through Justice	21557802		1920-03-01	82	3	1932-03-01	94	1	http://www.jstor.org/journal/advopeacjust		advopeacjust	P3Y	fulltext		World Affairs Institute	serial						worldaffairs	advopeac1894	P	1920-03-01 - 1932-03-01	Arts & Sciences VI Collection	International Relations ; Political Science ; Social Sciences	657159346	2010-235354
Aegyptus	00019046	18277888	1920-01-01	1	1	2010-01-01	90		http://www.jstor.org/journal/aegy		aegy	P6Y	fulltext		Vita e Pensiero – Pubblicazioni dell’Università Cattolica del Sacro Cuore	serial							studscuopapi	P	1920-01-01 - 2010-01-01	Arts & Sciences IX Collection	Archaeology ; Social Sciences	613122089	2012235035
Aequatoria	0304257X		1937-06-26	1	1	1962-01-01	25	2	http://www.jstor.org/journal/aequatoria		aequatoria		fulltext	Publication of this title ceased in 2009.	Honoré Vinck	serial						annaaequ		P	1937-06-26 - 1962-01-01	Arts & Sciences IX Collection	African Studies ; Area Studies	647576801	2012-236377
Aevum	00019593		1927-01-01	1	1/2	2010-09-01	84	3	http://www.jstor.org/journal/aevum		aevum	P6Y	fulltext		Vita e Pensiero – Pubblicazioni dell’Università Cattolica del Sacro Cuore	serial								P	1927-01-01 - 2010-09-01	Arts & Sciences XI Collection	History ; History ; Linguistics ; Social Sciences	60627847	2011-263306
Afers Internacionals	02121786		1982-04-01		0	1985-04-01		6	http://www.jstor.org/journal/aferinte		aferinte	P2Y	fulltext		CIDOB	serial						revcidafeint		P	1982-04-01 - 1985-04-01	Iberoamérica Collection ; Arts & Sciences IX Collection ; Spanish-Portuguese Language Collection	International Relations ; Political Science ; Social Sciences	190707052	2008262203
Africa Development / Afrique et Développement	08503907		1986-01-01	11	4	2012-01-01	37	1	http://www.jstor.org/journal/afrdevafrdev		afrdevafrdev	P1Y	fulltext		CODESRIA	serial								P	1986-01-01 - 2012-01-01	Arts & Sciences XIV Collection	African Studies ; Area Studies ; Business & Economics ; Development Studies		
Africa: Journal of the International African Institute	00019720	17500184	1928-01-01	1	1	2010-01-01	80	2	http://www.jstor.org/journal/afrijinteafriins		afrijinteafriins	P6Y	fulltext		Cambridge University Press	serial								P	1928-01-01 - 2010-01-01	Arts & Sciences VII Collection	African Studies ; Area Studies	50238863	2004-237166
Africa: Rivista trimestrale di studi e documentazione dell'Istituto italiano per l'Africa e l'Oriente	00019747		1950-03-01	5	3/4	2009-07-01	64	3/4	http://www.jstor.org/journal/africa2		africa2		fulltext	Publication of this title ceased in 2009	Istituto Italiano per l'Africa e l'Oriente (IsIAO)	serial								P	1950-03-01 - 2009-07-01	Arts & Sciences IX Collection	African Studies ; Area Studies	746593240	2011-235847
Africa Spectrum	00020397		1966-01-01	1	2	2012-01-01	47	1	http://www.jstor.org/journal/africaspec		africaspec	P4Y	fulltext		Institute of African Affairs at GIGA, Hamburg/Germany	serial								P	1966-01-01 - 2012-01-01	For-Profit Academic Arts & Sciences VI Collection ; Arts & Sciences VI Collection ; Public Library I Collection	African Studies ; Area Studies	316257973	2009235670
Africa Today	00019887	15271978	1954-04-01	1	1	2012-12-01	59	2	http://www.jstor.org/journal/africatoday		africatoday	P4Y	fulltext		Indiana University Press	serial								P	1954-04-01 - 2012-12-01	Arts & Sciences VI Collection ; African & African American Studies Discipline Package	African Studies ; Area Studies	42388177	sn 99004666
African Affairs	00019909	14682621	1944-07-01	43	172	2010-10-01	109	437	http://www.jstor.org/journal/africanaffairs		africanaffairs	P6Y	fulltext		Oxford University Press	serial							jroyaafrisoci	P	1944-07-01 - 2010-10-01	Arts & Sciences II Collection ; Public Library I Collection	African Studies ; Area Studies	51206437	2002-227380
